X Position (mm),Y Position (mm),Rotation Angle (deg)
19.117261370129885,-17.685718671372044,78.24646433754619
20.387037331451168,-11.582924245623893,77.88886842972805
21.42547741808078,-6.929049410859124,76.96122185026901
22.237624707995288,-3.5918286246049558,75.66425795400255
22.82852227917125,-1.438996344388606,73.47012522925245
23.20321320958523,-0.33828702773729447,67.21901605181243
23.366740577213786,-0.15743513217823946,-74.14769025661838
23.324147460033487,-0.7641751152386504,-98.70886998238203
23.080476936020887,-2.026241434445758,-102.64023209189135
22.64077208315255,-3.8113685473267633,-105.12194542075915
22.01007597940475,-5.987290911408879,-109.88999716346405
21.297000818567884,-7.5255215406994775,-115.32320085842811
20.365107736514936,-9.463604088917823,-116.10581355538804
19.191963488721555,-11.821334015364345,-116.88307393760721
17.752424581889276,-14.617256694344366,-117.68983408603745
16.018697424648366,-17.86812174991804,-127.33979479363737
14.136348977443426,-19.357201348152742,-147.96833789247526
12.074175603791932,-20.335964483817975,-157.65814612547027
10.145041635174762,-20.99756283360548,-166.28092713779995
8.699014698267295,-21.159930424975208,-169.65246576300308
7.493854855181334,-21.481637613598934,-172.5083339312511
6.188279392611885,-21.490103478260593,176.38487984673887
4.873297594638707,-21.316071820856212,179.73176725756034
3.403216813337648,-21.477064988558073,-174.3917176502019
1.9322576698267158,-21.604872540045484,-175.57089525694533
0.4611006740764896,-21.704951912389383,-176.5698844525595
-1.010104396207898,-21.7812331153969,-177.4437664805998
-2.4814506498855513,-21.83632010460907,-178.24178595525999
-3.9532078581235184,-21.87157538411217,-179.01067419097197
-5.425701601176785,-21.887163517489093,-179.7957090990765
-6.8992629382150135,-21.882079731938255,179.35368296627016
-8.374100445897241,-21.85390310558978,178.3751073665308
-9.850063608041715,-21.79837338999645,177.19502706292946
-11.32621294017638,-21.709263877083732,175.7368015687018
-12.800288512585645,-21.578450441320413,173.92740138450546
-14.26829712128128,-21.396268813337414,171.7059577077152
-15.724381523373449,-21.15218192219652,169.0312411948323
-17.160940035959243,-20.83563265773101,165.88754394690307
-18.56909474337995,-20.436981856815688,162.28613803111864
-19.939256201372736,-19.948218169336126,158.26194329141768
-21.261719156586846,-19.36338420398798,153.87427355293025
