X,Y,Theta
22.324304015151515,-9.725167818181818,-15.628062237714227
21.929044015151515,-11.138157818181819,-18.637814248881615
21.387804015151517,-12.501857818181819,-24.90428729123821
20.695464015151515,-13.795157818181819,-31.582458560023333
19.853984015151514,-14.99675781818182,179.68141700522344
20.820214015151514,8.64036118181818,177.53329523561865
20.860034015151516,8.356990181818182,41.74846937613023
24.085304015151515,4.981940181818182,63.118610859518576
29.526914015151515,3.9635701818181817,28.881987904175798
29.526914015151515,-4.882847818181818,-25.011244330616552
25.004814015151517,-5.729137818181818,-63.925205314168565
22.583064015151514,-8.280817818181818,-30.618372179187112
18.873904015151517,-16.08835781818182,-28.72668963625608
17.772624015151514,-17.05755781818182,-51.7766853420352
16.572174015151514,-17.90115781818182,-57.696137494742956
15.295194015151516,-18.623957818181818,-62.914383193497166
13.961544015151516,-19.23625781818182,-67.43122455376597
12.586714015151514,-19.74965781818182,-71.28813085510843
11.182784015151515,-20.177457818181818,-74.51816582834182
9.758744015151516,-20.53295781818182,-77.20413195381522
8.320843015151516,-20.82745781818182,-79.46173747852554
6.873186015151515,-21.06975781818182,-81.37483655457585
5.418777015151515,-21.267657818181817,-82.97709751023379
3.9598080151515154,-21.42865781818182,-84.31474604235841
2.497730015151515,-21.558457818181818,-85.47101394202097
1.033438015151515,-21.66045781818182,-86.50416066032419
-0.432385984848485,-21.73745781818182,-87.4247643572092
-1.899195984848485,-21.79235781818182,-88.25877391093003
-3.3666459848484847,-21.82665781818182,-89.0728794708663
-4.834425984848485,-21.83985781818182,-89.9121710022283
-6.302245984848485,-21.83115781818182,269.2114647306225
-7.769745984848484,-21.799457818181818,268.256787444064
-9.236445984848485,-21.74185781818182,267.15504169236374
-10.701645984848485,-21.65375781818182,265.85639198242905
-12.164145984848485,-21.529757818181817,264.31232602769614
-13.622445984848484,-21.36285781818182,262.44302406028
-15.073745984848484,-21.143757818181818,260.1669746430148
-16.514145984848486,-20.86165781818182,257.3921955206963
-17.937345984848484,-20.50325781818182,254.03743505648342
-19.334745984848485,-20.05485781818182,250.0439317538105
-20.694145984848486,-19.502257818181818,245.3884999918175
-22.000445984848486,-18.83375781818182,240.17002134295268
-23.237045984848486,-18.04415781818182,234.57890853041374
-24.388745984848484,-17.13515781818182,228.8885522441439
-25.445345984848483,-16.11695781818182,223.41189125761923
-26.403445984848485,-15.005557818181819,218.37814556343923
-27.265845984848486,-13.818257818181818,213.92411008659136
-28.040445984848485,-12.57165781818182,210.08690688186547
-28.736645984848483,-11.27965781818182,206.8149718950079
-29.364145984848484,-9.952877818181818,204.03305927641753
-29.931845984848486,-8.599357818181819,201.6577847221383
-30.447345984848486,-7.225067818181818,199.59578540335713
-30.916245984848484,-5.834197818181818,197.7632181835361
-31.342845984848484,-4.429747818181818,196.09774113907628
-31.730145984848484,-3.0139578181818187,194.52707924566855
-32.07914598484849,-1.5882278181818184,192.97569992136457
-32.389245984848486,-0.15354781818181834,191.39025290999987
-32.65884598484848,1.2892901818181817,189.69685624200423
-32.883645984848485,2.7397671818181815,187.79922352126113
-33.05714598484848,4.197244181818182,185.60992062973082
-33.17054598484849,5.660592181818182,182.9945486336372
-33.210445984848484,7.1277171818181815,179.77931685518175
